id;match_name;match_date;team1_id;team1_score;team2_id;team2_score
5452;PSV - AZ;2012-04-14 16:45;168;3;156;\N
5453;Twente Enschede FC - NAC Breda;2012-04-14 18:45;161;2;166;\N
5454;Feyenoord - Excelsior Rotterdam;2012-04-14 17:45;64;3;159;\N
5455;Ajax - De Graafschap;2012-04-15 12:30;157;3;158;\N
5456;Vitesse - ADO Den Haag;2012-04-15 12:30;171;1;155;\N
5457;Heracles - RKC Waalwijk;2012-04-15 14:30;165;1;650;\N
5458;Groningen - Roda JC Kerkrade;2012-04-15 10:30;160;\N;169;\N
5459;Utrecht - VVV;2012-04-15 12:30;162;4;170;\N
5460;NAC Breda - Roda JC Kerkrade;2012-04-20 18:00;166;\N;169;\N
5461;De Graafschap - Heracles;2012-04-21 17:45;158;2;165;\N
5462;RKC Waalwijk - Utrecht;2012-04-21 17:45;650;\N;162;\N
5463;Heerenveen - Vitesse;2012-04-21 16:45;164;1;171;\N
5464;Excelsior Rotterdam - Twente Enschede FC;2012-04-21 19:45;159;\N;161;\N
5465;ADO Den Haag - Feyenoord;2012-04-22 10:30;155;1;64;\N
5466;AZ - VVV;2012-04-22 12:30;156;2;170;\N
5467;Ajax - Groningen;2012-04-22 14:30;157;2;160;\N
5468;PSV - NEC;2012-04-22 12:30;168;2;69;\N
5469;Groningen - De Graafschap;2012-04-27 18:00;160;1;158;\N
5470;VVV - ADO Den Haag;2012-04-28 18:45;170;2;155;\N
5471;Vitesse - Excelsior Rotterdam;2012-04-28 17:45;171;3;159;\N
5472;Heracles - Heerenveen;2012-04-28 16:45;165;2;164;\N
5473;Utrecht - NAC Breda;2012-04-28 17:45;162;1;166;\N
5475;Roda JC Kerkrade - PSV;2012-04-29 10:30;169;1;168;\N
5476;Twente Enschede FC - Ajax;2012-04-29 12:30;161;1;157;\N
5477;Feyenoord - AZ;2012-04-29 12:30;64;1;156;\N
5478;Ajax - VVV;2012-05-02 18:00;157;2;170;\N
5479;Groningen - NAC Breda;2012-05-02 18:00;160;1;166;\N
5480;De Graafschap - Excelsior Rotterdam;2012-05-02 18:00;158;2;159;\N
5481;NEC - AZ;2012-05-02 18:00;69;1;156;\N
5482;PSV - ADO Den Haag;2012-05-02 19:00;168;5;155;\N
5483;RKC Waalwijk - Roda JC Kerkrade;2012-05-02 18:00;650;5;169;\N
5484;Twente Enschede FC - Heerenveen;2012-05-02 18:00;161;3;164;\N
5485;Utrecht - Vitesse;2012-05-02 18:00;162;2;171;\N
5486;Feyenoord - Heracles;2012-05-02 18:00;64;4;165;\N
5487;ADO Den Haag - De Graafschap;2012-05-06 12:30;155;3;158;\N
5488;AZ - Groningen;2012-05-06 12:30;156;1;160;\N
5489;VVV - Twente Enschede FC;2012-05-06 12:30;170;4;161;\N
5490;Vitesse - Ajax;2012-05-06 15:30;171;1;157;\N
5491;Heracles - NEC;2012-05-06 12:30;165;1;69;\N
5492;NAC Breda - RKC Waalwijk;2012-05-06 12:30;166;3;650;\N
5493;Roda JC Kerkrade - Utrecht;2012-05-06 12:30;169;1;162;\N
5494;Heerenveen - Feyenoord;2012-05-06 12:30;164;2;64;\N
5495;Excelsior Rotterdam - PSV;2012-05-06 13:30;159;1;168;\N
5804;Ried - PSV;2011-08-18 22:05;403;\N;168;\N
5844;PSV - Ried;2011-08-25 19:45;168;5;403;\N
6013;Ajax - Lyon;2011-09-14 18:45;157;\N;292;\N
6021;Real Madrid - Ajax;2011-09-27 18:45;55;3;157;\N
6037;Dinamo Zagreb - Ajax;2011-10-18 18:45;68;\N;157;\N
6061;Ajax - Dinamo Zagreb;2011-11-02 19:45;157;4;68;\N
6069;Lyon - Ajax;2011-11-22 19:45;292;\N;157;\N
6093;Ajax - Real Madrid;2011-12-07 19:45;157;\N;55;\N
6097;PSV - Legia Warsaw;2011-09-15 18:00;168;1;669;\N
6107;AZ - Malmo;2011-09-15 19:05;156;4;465;\N
6117;Fulham - Twente Enschede FC;2011-09-15 19:05;84;1;161;\N
6121;Metalist - AZ;2011-09-29 17:00;106;1;156;\N
6129;Twente Enschede FC - Wisla Krakow;2011-09-29 17:00;161;4;735;\N
6135;FC Rapid Bucuresti - PSV;2011-09-29 19:05;181;1;168;\N
6144;AZ - Austria Vienna;2011-10-20 17:00;156;2;401;\N
6152;OB - Twente Enschede FC;2011-10-20 17:00;224;1;161;\N
6160;Hapoel Tel Aviv - PSV;2011-10-20 19:05;130;\N;168;\N
